Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
The Power of Habit: Why We Do What We Do in Life and Business,['Charles Duhigg'],2012,63,4.10,"7,515"
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,['Eric Ries'],2011,61,4.09,"0,270"
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,['Ben Horowitz'],2014,38,4.24,"5,710"
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,['Michael E. Gerber'],1985,45,4.02,"1,253"
The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,['Clayton M. Christensen'],1997,48,4.01,"9,389"
The Snowball: Warren Buffett and the Business of Life,['Alice Schroeder'],2008,46,4.12,"9,704"
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",['Esphyr Slobodkina'],1940,66,4.15,"6,428"
Purple Cow: Transform Your Business by Being Remarkable,['Seth Godin'],2003,61,3.77,"4,109"
The Personal MBA: Master the Art of Business,['Josh Kaufman'],2010,42,4.08,"8,191"
"Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way",['Richard Branson'],1998,67,3.99,"9,670"
Smarter Faster Better: The Secrets of Being Productive in Life and Business,['Charles Duhigg'],2016,61,3.93,"5,642"
Business Model Generation,"['Alexander Osterwalder', 'Yves Pigneur']",2010,53,4.19,"2,883"
Business Adventures,['John Brooks'],1969,43,3.82,"8,422"
The Long Tail: Why the Future of Business is Selling Less of More,['Chris Anderson'],2006,84,3.82,"7,782"
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,"['Neil Postman', 'Andrew Postman']",1985,45,4.14,"9,175"
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","['Gene Kim', 'Kevin Behr', 'George Spafford']",2013,31,4.27,"8,384"
"Wicked Business (Lizzy & Diesel, #2)",['Janet Evanovich'],2012,30,3.79,"2,958"
American Prison: A Reporter's Undercover Journey into the Business of Punishment,['Shane Bauer'],2018,9,4.22,"8,302"
The Go-Giver: A Little Story About a Powerful Business Idea,"['Bob Burg', 'John David Mann']",2007,42,4.36,"5,184"
Irresistible: The Rise of Addictive Technology and the Business of Keeping Us Hooked,['Adam Alter'],2017,40,3.86,"6,839"
"The Google Story: Inside the Hottest Business, Media, and Technology Success of Our Time",['David A. Vise'],2005,58,3.87,"4,638"
"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster",['Sarah Krasnostein'],2017,17,3.91,"5,459"
"Fifth Business (The Deptford Trilogy, #1)",['Robertson Davies'],1970,61,4.05,"6,679"
The Advantage: Why Organizational Health Trumps Everything Else in Business,['Patrick Lencioni'],2012,37,4.17,"0,216"
EntreLeadership: 20 Years of Practical Business Wisdom from the Trenches,['Dave Ramsey'],2011,16,4.21,"1,481"
"iCon: Steve Jobs, the Greatest Second Act in the History of Business","['Jeffrey S. Young', 'William L. Simon']",2005,24,4.01,"8,992"
Death by Meeting: A Leadership Fable...about Solving the Most Painful Problem in Business,['Patrick Lencioni'],2004,24,4.02,"9,564"
My Lucky Life in and Out of Show Business,['Dick Van Dyke'],2011,16,3.87,"1,185"
"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)","['Barbara Park', 'Denise Brunkus']",1993,31,4.00,"1,996"
The Culture Map: Breaking Through the Invisible Boundaries of Global Business,['Erin Meyer'],2014,27,4.37,"6,384"
"Crushing It!: How Great Entrepreneurs Build Their Business and Influence—and How You Can, Too",['Gary Vaynerchuk'],2018,24,4.08,"6,498"
Trouble Is My Business,['Raymond Chandler'],1939,524,4.06,"0,742"
The Deptford Trilogy: Fifth Business/The Manticore/World of Wonders,['Robertson Davies'],1975,23,4.32,"7,622"
The Business of the 21st Century,['Robert T. Kiyosaki'],0,52,3.93,"7,087"
The Leader Who Had No Title: A Modern Fable on Real Success in Business and in Life,['Robin S. Sharma'],2010,80,3.95,"9,105"
Warren Buffett: The Life and Business Lessons of Warren Buffett,['George Ilian'],2015,2,3.97,"3,494"
An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,['Elisabeth Rosenthal'],2017,11,4.35,"4,474"
HBR's 10 Must Reads on Leadership,['Harvard Business School Press'],2010,13,4.04,"1,671"
Influence: The Psychology of Persuasion,['Robert B. Cialdini'],1984,144,4.19,"9,456"
Built to Sell: Creating a Business That Can Thrive Without You,['John Warrillow'],2010,15,4.26,"4,300"
On Emotional Intelligence (HBR's 10 Must Reads),['Harvard Business Review'],2015,11,3.97,"1,432"
"The Laws of Simplicity: Design, Technology, Business, Life",['John Maeda'],2006,27,3.93,"5,864"
